Schema Name,Table Name,Table Description,Row Count,Column Name,Data Type,Nullability,Default Value,Column Comments,Constraint Type,Constraint Name,Constraint Columns,Constraint Definition,FK Source Table,FK Source Column(s),FK Target Table,FK Target Column(s),FK Update Rule,FK Delete Rule,Index Name,Index Columns,Index Type,Is Unique Index,Data Integrity Rules,Additional Notes
dbo,RolePermissionGroup,,,,,,,,,,,,,,,,,,,,,,,,
dbo,RolePermissionGroup,,,RolePermissionGroupId,uniqueidentifier,No,,,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,RolePermissionGroup,,,RolePermissionGroupId,uniqueidentifier,No,,,PK,,RolePermissionGroupId,PRIMARY KEY CLUSTERED ([RolePermissionGroupId] ASC),,,,,,,PRIMARY,RolePermissionGroupId ASC,BTREE,Yes,Primary key constraint,
dbo,RuleSet,,,ModifiedBy,uniqueidentifier,Yes,,,,,,,,,,,,,,,,,,Nullable column,
dbo,RuleSet,,,ModifiedDate,datetime2(7),Yes,,,,,,,,,,,,,,,,,,Nullable column,
dbo,RuleSetPaymentMethod,,,,,,,,,,,,,,,,,,,,,,,,
dbo,RuleSetPaymentMethod,,,Id,uniqueidentifier,No,,,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,RuleSetPaymentMethod,,,Id,uniqueidentifier,No,,,PK,PK_RuleSetPaymentMethod,Id,CONSTRAINT [PK_RuleSetPaymentMethod] PRIMARY KEY CLUSTERED ([Id] ASC),,,,,,,PK_RuleSetPaymentMethod,Id ASC,BTREE,Yes,Primary key constraint,
dbo,RuleSetPaymentMethod,,,RuleSetId,uniqueidentifier,No,,,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,RuleSetPaymentMethod,,,RuleSetId,uniqueidentifier,No,,,UK,UQ_RuleSetPaymentMethod,"RuleSetId, ModuleFunctionId",CONSTRAINT [UQ_RuleSetPaymentMethod] UNIQUE NONCLUSTERED ([RuleSetId] ASC [ModuleFunctionId] ASC),,,,,,,UQ_RuleSetPaymentMethod,"RuleSetId ASC, ModuleFunctionId ASC",BTREE,Yes,Unique constraint,
dbo,RuleSetPaymentMethod,,,ModuleFunctionId,uniqueidentifier,No,,,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,RuleSetPaymentMethod,,,ModuleFunctionId,uniqueidentifier,No,,,UK,UQ_RuleSetPaymentMethod,"RuleSetId, ModuleFunctionId",CONSTRAINT [UQ_RuleSetPaymentMethod] UNIQUE NONCLUSTERED ([RuleSetId] ASC [ModuleFunctionId] ASC),,,,,,,UQ_RuleSetPaymentMethod,"RuleSetId ASC, ModuleFunctionId ASC",BTREE,Yes,Unique constraint,
dbo,RuleSetPaymentMethod,,,IsEnabled,bit,No,,,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,RuleSetPaymentMethod,,,FunctionOrder,int,No,,,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,RuleSetPaymentMethod,,,ConditionalRules,nvarchar(max),Yes,,,,,,,,,,,,,,,,,,Nullable column,
dbo,RuleSetPaymentMethod,,,CreatedBy,uniqueidentifier,No,,,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,RuleSetPaymentMethod,,,CreatedDate,datetime2(7),No,,,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,RuleSetPaymentMethod,,,ModifiedBy,uniqueidentifier,Yes,,,,,,,,,,,,,,,,,,Nullable column,
dbo,RuleSetPaymentMethod,,,ModifiedDate,datetime2(7),Yes,,,,,,,,,,,,,,,,,,Nullable column,
dbo,StatusType,,,,,,,,,,,,,,,,,,,,,,,,
dbo,StatusType,,,StatusTypeId,int,No,,,,,,,,,,,,,,,,,,NOT NULL constraint; IDENTITY(1,1),
dbo,StatusType,,,StatusTypeId,int,No,,,PK,,StatusTypeId,PRIMARY KEY CLUSTERED ([StatusTypeId] ASC),,,,,,,PRIMARY,StatusTypeId ASC,BTREE,Yes,Primary key constraint,
dbo,StatusType,,,TypeCode,nvarchar(50),No,,,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,StatusType,,,TypeValue,nvarchar(50),No,,,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,StatusType,,,Description,nvarchar(255),Yes,,,,,,,,,,,,,,,,,,Nullable column,
dbo,StatusType,,,IsActive,bit,No,,,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,StatusType,,,CreatedBy,uniqueidentifier,No,,,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,StatusType,,,CreatedDate,datetime2(7),No,,,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,StatusType,,,UpdatedBy,uniqueidentifier,Yes,,,,,,,,,,,,,,,,,,Nullable column,
dbo,StatusType,,,UpdatedDate,datetime2(7),Yes,,,,,,,,,,,,,,,,,,Nullable column,
dbo,StepApprover,,,,,,,,,,,,,,,,,,,,,,,,
dbo,StepApprover,,,Id,uniqueidentifier,No,,,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,StepApprover,,,Id,uniqueidentifier,No,,,PK,PK_StepApprover,Id,CONSTRAINT [PK_StepApprover] PRIMARY KEY CLUSTERED ([Id] ASC),,,,,,,PK_StepApprover,Id ASC,BTREE,Yes,Primary key constraint,
dbo,StepApprover,,,StepId,uniqueidentifier,No,,,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,StepApprover,,,GroupId,uniqueidentifier,Yes,,,,,,,,,,,,,,,,,,Nullable column,
dbo,StepApprover,,,ApproverType,nvarchar(10),No,,,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,StepApprover,,,ApproverReferenceId,uniqueidentifier,No,,,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,StepApprover,,,GroupLogic,nvarchar(10),No,,,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,StepApprover,,,ApproverOrder,int,No,,,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,StepApprover,,,CanDelegate,bit,No,,,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,StepApprover,,,IsActive,bit,No,,,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,StepApprover,,,CreatedBy,uniqueidentifier,No,,,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,StepApprover,,,CreatedDate,datetime2(7),No,,,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,StepApprover,,,ModifiedBy,uniqueidentifier,Yes,,,,,,,,,,,,,,,,,,Nullable column,
dbo,StepApprover,,,ModifiedDate,datetime2(7),Yes,,,,,,,,,,,,,,,,,,Nullable column,
dbo,StepApproverGroup,,,,,,,,,,,,,,,,,,,,,,,,
dbo,StepApproverGroup,,,GroupId,uniqueidentifier,No,,,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,StepApproverGroup,,,GroupId,uniqueidentifier,No,,,PK,PK_StepApproverGroup,GroupId,CONSTRAINT [PK_StepApproverGroup] PRIMARY KEY CLUSTERED ([GroupId] ASC),,,,,,,PK_StepApproverGroup,GroupId ASC,BTREE,Yes,Primary key constraint,
dbo,StepApproverGroup,,,StepId,uniqueidentifier,No,,,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,StepApproverGroup,,,ParentGroupId,uniqueidentifier,Yes,,,,,,,,,,,,,,,,,,Nullable column,
dbo,StepApproverGroup,,,GroupName,nvarchar(100),No,,,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,StepApproverGroup,,,GroupLogic,nvarchar(10),No,,,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,StepApproverGroup,,,GroupOrder,int,No,,,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,StepApproverGroup,,,MinimumRequired,int,No,,,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,StepApproverGroup,,,GroupLevel,int,No,,,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,StepApproverGroup,,,IsActive,bit,No,,,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,StepApproverGroup,,,CreatedBy,uniqueidentifier,No,,,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,StepApproverGroup,,,CreatedDate,datetime2(7),No,,,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,StepApproverGroup,,,ModifiedBy,uniqueidentifier,Yes,,,,,,,,,,,,,,,,,,Nullable column,
dbo,StepApproverGroup,,,ModifiedDate,datetime2(7),Yes,,,,,,,,,,,,,,,,,,Nullable column,
dbo,Tag,,,,,,,,,,,,,,,,,,,,,,,,
dbo,Tag,,,TagId,uniqueidentifier,No,,,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,Tag,,,TagId,uniqueidentifier,No,,,PK,PK_Tag,"TagId, CustomerId, Name",CONSTRAINT [PK_Tag] PRIMARY KEY CLUSTERED ([TagId] ASC [CustomerId] ASC [Name] ASC),,,,,,,PK_Tag,"TagId ASC, CustomerId ASC, Name ASC",BTREE,Yes,Primary key constraint,
dbo,Tag,,,CustomerId,uniqueidentifier,No,,,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,Tag,,,CustomerId,uniqueidentifier,No,,,PK,PK_Tag,"TagId, CustomerId, Name",CONSTRAINT [PK_Tag] PRIMARY KEY CLUSTERED ([TagId] ASC [CustomerId] ASC [Name] ASC),,,,,,,PK_Tag,"TagId ASC, CustomerId ASC, Name ASC",BTREE,Yes,Primary key constraint,
dbo,Tag,,,EnterpriseId,uniqueidentifier,Yes,,,,,,,,,,,,,,,,,,Nullable column,
dbo,Tag,,,EntityId,uniqueidentifier,Yes,,,,,,,,,,,,,,,,,,Nullable column,
dbo,Tag,,,Name,varchar(255),No,,,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,Tag,,,Name,varchar(255),No,,,PK,PK_Tag,"TagId, CustomerId, Name",CONSTRAINT [PK_Tag] PRIMARY KEY CLUSTERED ([TagId] ASC [CustomerId] ASC [Name] ASC),,,,,,,PK_Tag,"TagId ASC, CustomerId ASC, Name ASC",BTREE,Yes,Primary key constraint,
dbo,Tag,,,ColorId,uniqueidentifier,Yes,,,,,,,,,,,,,,,,,,Nullable column,
dbo,Tag,,,Description,varchar(255),Yes,,,,,,,,,,,,,,,,,,Nullable column,
dbo,Tag,,,IsActive,bit,Yes,,,,,,,,,,,,,,,,,,Nullable column,
dbo,Tag,,,Status,varchar(255),Yes,,,,,,,,,,,,,,,,,,Nullable column,
dbo,Tag,,,DeactivatedBy,uniqueidentifier,Yes,,,,,,,,,,,,,,,,,,Nullable column,
dbo,Tag,,,DeactivatedDate,datetime,Yes,,,,,,,,,,,,,,,,,,Nullable column,
dbo,Tag,,,ModifiedBy,uniqueidentifier,Yes,,,,,,,,,,,,,,,,,,Nullable column,
dbo,Tag,,,ModifiedDate,datetime,Yes,,,,,,,,,,,,,,,,,,Nullable column,
dbo,Tag,,,CreatedBy,uniqueidentifier,Yes,,,,,,,,,,,,,,,,,,Nullable column,
dbo,Tag,,,CreatedDate,datetime,Yes,,,,,,,,,,,,,,,,,,Nullable column,
dbo,Tag,,,ModuleFunctionId,uniqueidentifier,Yes,,,,,,,,,,,,,,,,,,Nullable column,
dbo,Task,,,,,,,,,,,,,,,,,,,,,,,,
dbo,Task,,,Id,uniqueidentifier,No,,,,,,,,,,,,,,,,,,NOT NULL constraint,
dbo,Task,,,Id,uniqueidentifier,No,,,PK,,Id,PRIMARY KEY CLUSTERED ([Id] ASC),,,,,,,PRIMARY,Id ASC,BTREE,Yes,Primary key constraint,
dbo,Task,,,TaskName,varchar(130),Yes,,,,,,,,,,,,,,,,,,Nullable column,
dbo,Task,,,CreatedBy,uniqueidentifier,Yes,,,,,,,,,,,,,,,,,,Nullable column,
dbo,Task,,,Rate,decimal(10,2),Yes,,,,,,,,,,,,,,,,,,Nullable column,
